" Health Facility Delivery Rate "
"Organisation unit / Period"," 2017 "," 2018 "
" MOH - Tanzania "," 69.4 "," 79.6 "
" Arusha Region "," 62.4 "," 68 "
" Dar Es Salaam Region "," 53.8 "," 60.1 "
" Dodoma Region "," 61.4 "," 69.4 "
" Geita Region "," 79.2 "," 104.2 "
" Iringa Region "," 88 "," 78.2 "
" Kagera Region "," 66.2 "," 77.7 "
" Katavi Region "," 88 "," 95.2 "
" Kigoma Region "," 78.4 "," 100.4 "
" Kilimanjaro Region "," 58.6 "," 56.9 "
" Lindi Region "," 44.9 "," 68.3 "
" Manyara Region "," 53.2 "," 54.2 "
" Mara Region "," 74.7 "," 72.2 "
" Mbeya Region "," 82 "," 82.3 "
" Morogoro Region "," 65.1 "," 71.3 "
" Mtwara Region "," 69.9 "," 71.1 "
" Mwanza Region "," 76.9 "," 97.1 "
" Njombe Region "," 81.5 "," 71.9 "
" Pwani Region "," 95.7 "," 106 "
" Rukwa Region "," 95.5 "," 109.7 "
" Ruvuma Region "," 80.8 "," 82.4 "
" Shinyanga Region "," 91.8 "," 109.7 "
" Simiyu Region "," 62.3 "," 69.6 "
" Singida Region "," 75.2 "," 75 "
" Songwe Region "," 69.5 "," 76.2 "
" Tabora Region "," 72.9 "," 101.9 "
" Tanga Region "," 54.5 "," 62.1 "
